StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,N/A_Browser,N/A_Version,N/A_Operating System,N/A_Resolution,Q1,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q112,Q14,Q15,Q17,Q16,Q18,Q19,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q20_7,Q20_8,Q21
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,Browser Meta Info - Browser,Browser Meta Info - Version,Browser Meta Info - Operating System,Browser Meta Info - Resolution,Name (First and Last),Contact Email,"Which Duke school did you attend? (Trinity, Pratt, Fuqua, Sanford, School of Medicine, School of Nursing, Nicholas School of the Environment, Divinity, School of Law, etc)","What year did you graduate from Duke? (If you have more than one degree from Duke, you can select multiple class years by holding down the CTRL or COMMAND key on your computer)",How many students are you willing to mentor?,"What was your undergraduate major(s)? Select up to three. (You can select multiple choices by holding down the CTRL or COMMAND key on your computer) (These are Duke's current majors, if other, please choose the closest possible major to match with current students. Some subject areas, such as Education, Journalism, etc appear in minors and certificates below)","Did you complete any undergraduate minor(s)? Select up to three. (You can select multiple choices by holding down the CTRL or COMMAND key on your computer) (If other, choose the closest possible match)","Did you complete any certificate(s)? Select up to three. (You can select multiple choices by holding down the CTRL or COMMAND key on your computer) (If other, choose the closest possible match)","What industries do you have experience in? If the industry you're looking for isn't listed, choose the most similar option. (Select up to three.)","What graduate degrees did you pursue/are pursuing, if any?",What are your other interests / How do you like to spend your free time?,In which areas are you able to provide guidance or support? (Select up to three),Which ethnic/racial identity do you most identify with?,"During your time at Duke, were you a part of any of these affinity/students groups? Please note that the groups listed are undergraduate student groups (or co-listed with similar graduate groups as best as possible) for the purpose of matching, but you may select a group if you were not a member but wish to be paired with an undergraduate student within that background.",Were you a First Generation undergraduate student?,Are you interested in mentoring a First Generation undergraduate student? (First generation students are those that are first in their family to attend college),Were you an international student?,Do you currently reside in any of the following regions?,"Finally, which qualities are most important for you to have in common with your mentee? Drag and drop to rank from most important (1) to least important (8). Please give this some serious thought - while we cannot guarantee you will have the exact criteria, we will generate pairings based on the criteria you select. - Ethnicity / Race","Finally, which qualities are most important for you to have in common with your mentee? Drag and drop to rank from most important (1) to least important (8). Please give this some serious thought - while we cannot guarantee you will have the exact criteria, we will generate pairings based on the criteria you select. - Hobbies / Interests","Finally, which qualities are most important for you to have in common with your mentee? Drag and drop to rank from most important (1) to least important (8). Please give this some serious thought - while we cannot guarantee you will have the exact criteria, we will generate pairings based on the criteria you select. - Major / Academic Interest","Finally, which qualities are most important for you to have in common with your mentee? Drag and drop to rank from most important (1) to least important (8). Please give this some serious thought - while we cannot guarantee you will have the exact criteria, we will generate pairings based on the criteria you select. - Graduate Degree Interest","Finally, which qualities are most important for you to have in common with your mentee? Drag and drop to rank from most important (1) to least important (8). Please give this some serious thought - while we cannot guarantee you will have the exact criteria, we will generate pairings based on the criteria you select. - Industry","Finally, which qualities are most important for you to have in common with your mentee? Drag and drop to rank from most important (1) to least important (8). Please give this some serious thought - while we cannot guarantee you will have the exact criteria, we will generate pairings based on the criteria you select. - Location","Finally, which qualities are most important for you to have in common with your mentee? Drag and drop to rank from most important (1) to least important (8). Please give this some serious thought - while we cannot guarantee you will have the exact criteria, we will generate pairings based on the criteria you select. - First Generation","Finally, which qualities are most important for you to have in common with your mentee? Drag and drop to rank from most important (1) to least important (8). Please give this some serious thought - while we cannot guarantee you will have the exact criteria, we will generate pairings based on the criteria you select. - Areas for guidance / support",LinkedIn URL
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID48_BROWSER""}","{""ImportId"":""QID48_VERSION""}","{""ImportId"":""QID48_OS""}","{""ImportId"":""QID48_RESOLUTION""}","{""ImportId"":""QID81_TEXT""}","{""ImportId"":""QID107_TEXT""}","{""ImportId"":""QID111""}","{""ImportId"":""QID67""}","{""ImportId"":""QID18""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID19""}","{""ImportId"":""QID93""}","{""ImportId"":""QID27""}","{""ImportId"":""QID114""}","{""ImportId"":""QID11""}","{""ImportId"":""QID84""}","{""ImportId"":""QID76""}","{""ImportId"":""QID13""}","{""ImportId"":""QID112""}","{""ImportId"":""QID44""}","{""ImportId"":""QID105_11""}","{""ImportId"":""QID105_12""}","{""ImportId"":""QID105_13""}","{""ImportId"":""QID105_14""}","{""ImportId"":""QID105_15""}","{""ImportId"":""QID105_16""}","{""ImportId"":""QID105_17""}","{""ImportId"":""QID105_18""}","{""ImportId"":""QID109_TEXT""}"
2024-07-09 11:24:09,2024-07-09 11:24:09,Survey Test,,100,0,True,2024-07-09 11:24:09,R_doh2cN5aWBCHwFg,,,,,,,test,,,consectetuer,venenatis,temporibus,vestibulum,Magnis cur,testemail@qemailserver.com,"Pratt,School of Nursing,School of Law",Class of 1981,2,"Biomedical Engineering,Global Cultural Studies,Theater Studies",Visual Arts,"Digital Intelligence,Health Policy,Latinx Studies in the Global South","Media, Entertainment, and Sports",MD (Doctor of Medicine),"Cooking/Baking,Family Time,Fashion,Gaming,Gardening,Outdoor Activities/Hiking/Camping,Pets,Reading,Athletics/Playing Sports,Travelling,Visual Arts/Crafts,Volunteering,Music/Dance,Watching Sports,Performing Arts,Fishing/Hunting","Skill development in a specific field,Networking and professional connections,Personal growth and self-improvement,Work-life balance and time management,Emotional support",Native American or American Indian,Duke International Association (IA) / International students,Yes,No Preference,No,Denver CO,5,7,7,0,9,8,10,2,"Tempor. Volutpat at! Platea laoreet! Turpis eget pharetra porttitor faucibus magna, faucibus blandit pede sollicitudin."
2024-07-09 11:24:10,2024-07-09 11:24:10,Survey Test,,100,0,True,2024-07-09 11:24:10,R_81WW63foP4pfKXc,,,,,,,test,,,consectetuer,ullamcorper,fermentum,phasellus,Blandit sa,testemail@qemailserver.com,Divinity School,Class of 1963,1,Slavic and Eurasian Studies,"Earth and Climate Sciences,Global Health,Russian and East European Literatures in Translation","Human Rights,Information Science and Information Studies,Islamic Studies",Accounting,"MEM (Master of Engineering Management),DVM (Doctor of Veterinary Medicine)","Family Time,Fashion,Fitness,Gaming,Gardening,Pets,Reading,Athletics/Playing Sports,Travelling,Visual Arts/Crafts,Volunteering,Watching Sports,Time with Friends,Fishing/Hunting","Career exploration and decision-making,Networking and professional connections,Academic success and study skills",Native American or American Indian,"NPHC (African American Greek letter organizations),Multicultural Greek Council (MGC)",Yes,Yes,Yes,Chicago IL,4,8,4,1,10,1,2,9,Tempus pretium mi curabitur tempor. Montes rhoncus vivamus mauris ultrices cursus.
2024-07-09 11:24:10,2024-07-09 11:24:10,Survey Test,,100,0,True,2024-07-09 11:24:10,R_3lVBGgyfl2uxuHI,,,,,,,test,,,dignissim,fringilla,ridiculus,venenatis,"Sed eget! ",testemail@qemailserver.com,Trinity,"Class of 2023,Class of 1986,Class of 1957",4+,"African and African American Studies,Classical Civilization,Environmental Sciences",Political Science,"Markets and Management,Materials Science and Engineering",Biotechnology,"MHA (Master of Healthcare Administration),MSW (Master of Social Work)","Cooking/Baking,Family Time,Fashion,Gaming,Gardening,Outdoor Activities/Hiking/Camping,Pets,Reading,Athletics/Playing Sports,Travelling,Visual Arts/Crafts,Volunteering,Movies/TV,Performing Arts","Skill development in a specific field,Networking and professional connections,Academic success and study skills,Work-life balance and time management,Emotional support","Asian Pacific Islander,Hispanic or Latinx,White","None of the below,NPHC (African American Greek letter organizations),Multicultural Greek Council (MGC),Greek Life (IFC/Panhel),Duke International Association (IA) / International students,Selective Living Groups (SLG)",No,No Preference,Yes,Washington DC,2,9,9,7,8,6,5,7,Rutrum interdum. Nunc pharetra etiam duis ridiculus at ante sodales. Donec duis.
2024-07-09 11:24:10,2024-07-09 11:24:10,Survey Test,,100,0,True,2024-07-09 11:24:10,R_2oF4OUCxyiIdznM,,,,,,,test,,,consectetuer,imperdiet,dignissim,venenatis,Dictumst a,testemail@qemailserver.com,"Fuqua,The Graduate School",Class of 2021,1,"Philosophy,Theater Studies","Greek,Italian Studies","Information Science and Information Studies,Robotics and Automation",Biotechnology,"MPP (Master of Public Policy),MPH (Master of Public Health),MEng (Master of Engineering)","Family Time,Fashion,Fitness,Gaming,Gardening,Outdoor Activities/Hiking/Camping,Pets,Athletics/Playing Sports,Visual Arts/Crafts,Volunteering,Music/Dance,Watching Sports,Movies/TV,Performing Arts,Time with Friends,Fishing/Hunting",Skill development in a specific field,"Native American or American Indian,Prefer not to answer",NPHC (African American Greek letter organizations),No,Yes,No,Charlotte NC,10,8,10,1,7,5,8,10,Non! Dolor atque posuere et? Dignissim id dictumst tellus tempor sem urna. At dapibus.
2024-07-09 11:24:10,2024-07-09 11:24:10,Survey Test,,100,0,True,2024-07-09 11:24:11,R_3yqPfHJW4cNkULQ,,,,,,,test,,,sollicitudin,temporibus,vulputate,curabitur,Bibendum m,testemail@qemailserver.com,"Fuqua,Sanford,Divinity School",Class of 2019,1,"Economics,Evolutionary Anthropology,Public Policy Studies","English,History","East Asian Studies,Robotics and Automation,Science and the Public","Medical,Telecommunications","MEM (Master of Engineering Management),MPH (Master of Public Health)","Cooking/Baking,Family Time,Fashion,Fitness,Gaming,Outdoor Activities/Hiking/Camping,Pets,Reading,Athletics/Playing Sports,Travelling,Visual Arts/Crafts,Volunteering,Music/Dance,Watching Sports,Movies/TV,Performing Arts,Time with Friends","Career exploration and decision-making,Skill development in a specific field,Personal growth and self-improvement,Work-life balance and time management,Emotional support","Asian,Asian Pacific Islander,Native American or American Indian","None of the below,NPHC (African American Greek letter organizations),Multicultural Greek Council (MGC),Greek Life (IFC/Panhel),Dance Team,Selective Living Groups (SLG)",No,No Preference,Yes,Pacific Northwest/Seattle,7,7,7,1,4,6,6,7,Mattis vel. Tortor proin tortor quam tellus phasellus eros scelerisque tortor gravida iaculis vivamus vel.
2024-07-09 11:24:11,2024-07-09 11:24:11,Survey Test,,100,0,True,2024-07-09 11:24:11,R_9odk3hZQKjzc6Xk,,,,,,,test,,,phasellus,vestibulum,tincidunt,elementum,Lacus null,testemail@qemailserver.com,"Pratt,Fuqua,DKU","Class of 2015,Class of 1969,Class of 1961",1,Visual Arts,"German,Statistical Science","Aerospace Engineering,Information Science and Information Studies,Philosophy Politics and Economics","Biotechnology,Academia/Higher Ed","JD (Juris Doctorate/Law),MA (Master of Arts),MEM (Master of Engineering Management)","Cooking/Baking,Fashion,Fitness,Gaming,Gardening,Pets,Reading,Athletics/Playing Sports,Travelling,Visual Arts/Crafts,Volunteering,Watching Sports,Movies/TV,Performing Arts,Time with Friends,Fishing/Hunting","Career exploration and decision-making,Networking and professional connections,Academic success and study skills",Prefer not to answer,"None of the below,Dance Team,Selective Living Groups (SLG)",Yes,No Preference,No,Southern California,0,3,6,9,4,5,8,5,"Dictumst rhoncus imperdiet ullamcorper! Per accumsan elementum interdum nunc risus, maecenas fringilla nunc."
2024-07-09 11:24:11,2024-07-09 11:24:11,Survey Test,,100,0,True,2024-07-09 11:24:11,R_3BKsNQS3A4ssU6O,,,,,,,test,,,ultricies,phasellus,suspendisse,scelerisque,Elit aenea,testemail@qemailserver.com,"Pratt,Fuqua,Nicholas School of the Environment","Class of 2010,Class of 1962",4+,"Biology,Visual Arts",None,"Documentary Studies,Global Development Engineering","Accounting,International Relations,Dentistry","MEM (Master of Environmental Management),MM (Master in Management),DVM (Doctor of Veterinary Medicine)","Cooking/Baking,Fashion,Gaming,Outdoor Activities/Hiking/Camping,Pets,Reading,Athletics/Playing Sports,Travelling,Music/Dance,Watching Sports,Movies/TV,Performing Arts,Time with Friends,Fishing/Hunting","Career exploration and decision-making,Networking and professional connections,Work-life balance and time management,Emotional support","Black or African-American,Middle Eastern",Multicultural Greek Council (MGC),No,No Preference,Yes,Atlanta GA,4,7,5,5,3,1,9,4,Viverra interdum. Pellentesque at? Purus wisi malesuada dolorem purus suscipit cras molestie etiam id. Pretium.
2024-07-09 11:24:11,2024-07-09 11:24:11,Survey Test,,100,0,True,2024-07-09 11:24:12,R_4OWs2wQTksEsVAG,,,,,,,test,,,fringilla,ullamcorper,facilisis,dignissim,In donec a,testemail@qemailserver.com,"School of Medicine,School of Nursing","Class of 2019,Class of 1991,Class of 1951",2,"Biology,Russian","Creative Writing,Music",Innovation and Entrepreneurship,"Nursing,Retail and e-commerce,Energy and utilities","MEd (Master of Education),MPP (Master of Public Policy),MSW (Master of Social Work)","Gardening,Reading,Athletics/Playing Sports,Volunteering,Fishing/Hunting",Work-life balance and time management,"Black or African-American,Middle Eastern,Native American or American Indian","None of the below,Multicultural Greek Council (MGC),Greek Life (IFC/Panhel),Duke International Association (IA) / International students,Dance Team,Selective Living Groups (SLG)",Yes,Yes,No,New York City/Tri-State area,6,3,0,6,8,4,3,4,"Porta fermentum sagittis, accusamus magna atque bibendum quam sagittis! Blandit euismod cursus integer nibh primis."
