StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,N/A_Browser,N/A_Version,N/A_Operating System,N/A_Resolution,Q1,Q2,Q3,Q91,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q76,Q12,Q13,Q15,Q16,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_7,Q18_8,Q19,NetID,FirstName,LastName,PrimaryAffiliation,FullEmailAddress,NetIDEmail
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Browser Meta Info - Browser,Browser Meta Info - Version,Browser Meta Info - Operating System,Browser Meta Info - Resolution,Name (First and Last),NetID,"What year are you? For this pilot program, we invite sophomores, juniors and seniors to participate. Since Blue Devil Buddies serves as the mentorship program for first-years, freshmen are not eligible to participate at this time.",Are you in Trinity or Pratt?,"What is your intended major? Select up to three. (You can select multiple choices by holding down the CTRL or COMMAND key on your computer) (If you are doing Program II, select the option(s) that are most similar to what you are studying)",Do you intend to complete any minors? Select up to three. (You can select multiple choices by holding down the CTRL or COMMAND key on your computer),Do you intend to complete any certificates? Select up to three. (You can select multiple choices by holding down the CTRL or COMMAND key on your computer),"The following is a list of regions where there are larger concentrations of active, engaged Duke alumni. If you're interested to moving to any of these locations after graduation, select up to three. This can be useful for generating matches, but matches will not be made based on location alone. (Select up to three).","What industries are you considering starting a career in/want to learn more about? Select up to three. If the industry you're looking for isn't listed, choose the most similar option.","What graduate degrees do you hope to pursue, if any?",What are your other interests? Select up to three.,In which areas are you looking for guidance or support? (Select up to three),Which ethnic/racial identity(s) do you most identify with?,Are you a part of any of these clubs or organizations? (Or are not a member but wish to be paired with an alum within that background),Do you identify as First Generation college student?,Do you wish to be paired with an alum who was a First Generation college student?,Do you identify as an international student?,"Finally, which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria, we will generate pairings based on the criteria you select. - Ethnicity / Race","Finally, which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria, we will generate pairings based on the criteria you select. - Hobbies / Interests","Finally, which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria, we will generate pairings based on the criteria you select. - Major / Academic Interest","Finally, which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria, we will generate pairings based on the criteria you select. - Graduate Degree Interest","Finally, which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria, we will generate pairings based on the criteria you select. - Industry","Finally, which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria, we will generate pairings based on the criteria you select. - Location","Finally, which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria, we will generate pairings based on the criteria you select. - First Generation","Finally, which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria, we will generate pairings based on the criteria you select. - Areas for guidance / support",What is your email address?,NetID,FirstName,LastName,PrimaryAffiliation,FullEmailAddress,NetIDEmail
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID48_BROWSER""}","{""ImportId"":""QID48_VERSION""}","{""ImportId"":""QID48_OS""}","{""ImportId"":""QID48_RESOLUTION""}","{""ImportId"":""QID65_TEXT""}","{""ImportId"":""QID91_TEXT""}","{""ImportId"":""QID66""}","{""ImportId"":""QID93""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID41""}","{""ImportId"":""QID69""}","{""ImportId"":""QID73""}","{""ImportId"":""QID27""}","{""ImportId"":""QID80""}","{""ImportId"":""QID11""}","{""ImportId"":""QID83""}","{""ImportId"":""QID13""}","{""ImportId"":""QID85""}","{""ImportId"":""QID88""}","{""ImportId"":""QID49_169""}","{""ImportId"":""QID49_170""}","{""ImportId"":""QID49_171""}","{""ImportId"":""QID49_172""}","{""ImportId"":""QID49_173""}","{""ImportId"":""QID49_174""}","{""ImportId"":""QID49_175""}","{""ImportId"":""QID49_176""}","{""ImportId"":""QID77_TEXT""}","{""ImportId"":""NetID""}","{""ImportId"":""FirstName""}","{""ImportId"":""LastName""}","{""ImportId"":""PrimaryAffiliation""}","{""ImportId"":""FullEmailAddress""}","{""ImportId"":""NetIDEmail""}"
2024-07-09 11:22:35,2024-07-09 11:22:35,Survey Test,,100,0,True,2024-07-09 11:22:35,R_1MnBfLPLpI8uoho,,,,,,,test,,elementum,porttitor,accusamus,temporibus,"Et, mattis",Bibend,Senior,Trinity,International Comparative Studies,"Asian American and Diaspora Studies,Energy Engineering,Global Cultural Studies",Child Policy Research,Houston/Dallas/Austin,Transportation and logistics,"None / Not listed,MD (Doctor of Medicine),MBA (Masters of Business Administration),JD (Juris Doctorate/Law),PhD (Doctor of Philosophy),MFA (Master of Fine Arts),MS (Master of Science),Psy.D (Doctor of Psychology),MeD (Master of Education),MEM (Master of Engineering Management),MSN (Master of Science in Nursing),MEM (Master of Environmental Management),MPP (Masters of Public Policy),MSW (Master of Social Work),MHA (Master of Healthcare Administration),MPA (Master of Public Administration),MPH (Master of Public Health),MM (Master in Management),MEng (Master of Engineering),DVM (Doctor of Veterinary Medicine)","Fitness,Pets,Time with Friends","Career exploration and decision-making,Networking and professional connections,Emotional support","Middle Eastern,Native American or American Indian,White,Other",Selective Living Groups (SLG),No,Yes,No,7,2,4,6,6,9,1,2,testemail@qemailserver.com,,,,,,
2024-07-09 11:22:35,2024-07-09 11:22:35,Survey Test,,100,0,True,2024-07-09 11:22:36,R_diCRk9J5kVTrahE,,,,,,,test,,scelerisque,temporibus,porttitor,porttitor,Orci accum,Ut pha,Sophomore,Trinity,"Economics,Music,Slavic and Eurasian Studies",Visual and Media Studies,"Global Development Engineering,Innovation and Entrepreneurship,Policy Journalism and Media Studies","Chicago IL,Miami/Central Florida/Tampa Bay","Medical,Venture Capital,Architecture and Design","None / Not listed,MBA (Masters of Business Administration),JD (Juris Doctorate/Law),PhD (Doctor of Philosophy),MFA (Master of Fine Arts),MS (Master of Science),Psy.D (Doctor of Psychology),MEM (Master of Engineering Management),MPP (Masters of Public Policy),MSW (Master of Social Work),MHA (Master of Healthcare Administration),MPA (Master of Public Administration),MEng (Master of Engineering)","Fashion,Outdoor Activities/Hiking/Camping,Music/Dance",Skill development in a specific field,"Asian or Pacific islander,Black or African-American,Hispanic or Latinx,Middle Eastern,Native American or American Indian,White,Prefer not to answer","NPHC (African American Greek letter organizations),Selective Living Groups (SLG)",Yes,No,No,4,2,5,4,9,2,9,6,testemail@qemailserver.com,,,,,,
2024-07-09 11:22:36,2024-07-09 11:22:36,Survey Test,,100,0,True,2024-07-09 11:22:36,R_0cWTVp1qPh06HhI,,,,,,,test,,fermentum,consequat,vulputate,accusamus,Diam! Plac,Vestib,Junior,Trinity,Environmental Sciences and Policy,"Asian American and Diaspora Studies,Global Health","Aerospace Engineering,Health Policy,Philosophy Politics and Economics",Nashville TN,"Real estate,Transportation and logistics,Pharmaceutical","MD (Doctor of Medicine),JD (Juris Doctorate/Law),PhD (Doctor of Philosophy),MFA (Master of Fine Arts),MeD (Master of Education),MSN (Master of Science in Nursing),MEM (Master of Environmental Management),MPP (Masters of Public Policy),MSW (Master of Social Work),MHA (Master of Healthcare Administration),MPH (Master of Public Health),MM (Master in Management),MEng (Master of Engineering),DVM (Doctor of Veterinary Medicine)","Fitness,Outdoor Activities/Hiking/Camping","Academic success and study skills,Work-life balance and time management","Asian or Pacific islander,Black or African-American,Middle Eastern,Native American or American Indian,White,Other,Prefer not to answer","NPHC (African American Greek letter organizations),Student Athlete",Prefer not to answer,No,No,0,3,4,7,2,2,8,7,testemail@qemailserver.com,,,,,,
2024-07-09 11:22:36,2024-07-09 11:22:36,Survey Test,,100,0,True,2024-07-09 11:22:36,R_bJwYCQR5Hq3lClM,,,,,,,test,,phasellus,ultricies,temporibus,dignissim,"Fermentum ","Velit ",Junior,Trinity,"History,Undecided","Philosophy,Physics",Materials Science and Engineering,EU,Arts / Creative Industries,"None / Not listed,MBA (Masters of Business Administration),JD (Juris Doctorate/Law),MFA (Master of Fine Arts),MS (Master of Science),MeD (Master of Education),MEM (Master of Engineering Management),MSN (Master of Science in Nursing),MEM (Master of Environmental Management),MPP (Masters of Public Policy),MSW (Master of Social Work),MHA (Master of Healthcare Administration),MPA (Master of Public Administration),MPH (Master of Public Health),MM (Master in Management),MEng (Master of Engineering),DVM (Doctor of Veterinary Medicine)","Gardening,Pets,Visual Arts/Crafts","Personal growth and self-improvement,Work-life balance and time management,Emotional support","Hispanic or Latinx,Middle Eastern,Native American or American Indian,White,Prefer not to answer",Dance Team,No,No preference,No,2,9,3,8,9,5,4,1,testemail@qemailserver.com,,,,,,
2024-07-09 11:22:36,2024-07-09 11:22:36,Survey Test,,100,0,True,2024-07-09 11:22:36,R_006gXxvt2etrLLg,,,,,,,test,,phasellus,convallis,accusamus,vulputate,"Duis, ut v",Donec?,Sophomore,Trinity,"Art History,Chemistry,Linguistics",Greek,"East Asian Studies,Ethics and Society,Markets and Management",Washington DC,"Education,Manufacturing and engineering,Retail and e-commerce","None / Not listed,MD (Doctor of Medicine),MBA (Masters of Business Administration),MFA (Master of Fine Arts),MSN (Master of Science in Nursing),MPP (Masters of Public Policy),MSW (Master of Social Work),MHA (Master of Healthcare Administration),MPA (Master of Public Administration),MPH (Master of Public Health),MM (Master in Management)",Fashion,"Networking and professional connections,Work-life balance and time management,Emotional support","Asian or Pacific islander,White,Other,Prefer not to answer","Multicultural Greek Council (MGC),Dance Team",Prefer not to answer,Yes,Yes,9,6,10,8,6,1,7,3,testemail@qemailserver.com,,,,,,
2024-07-09 11:22:37,2024-07-09 11:22:37,Survey Test,,100,0,True,2024-07-09 11:22:37,R_3JWp2sTacwJQhJc,,,,,,,test,,malesuada,convallis,ullamcorper,ridiculus,Felis proi,Per fe,Senior,Trinity,Biophysics,"Electrical and Computer Engineering,Evolutionary Anthropology,Physics","Health Policy,Human Rights,Policy Journalism and Media Studies","Chicago IL,Nashville TN","Medical,Food and beverage,Academia/Higher Ed","MD (Doctor of Medicine),MBA (Masters of Business Administration),MS (Master of Science),MSN (Master of Science in Nursing),MSW (Master of Social Work),MEng (Master of Engineering),DVM (Doctor of Veterinary Medicine)","Fashion,Volunteering","Skill development in a specific field,Work-life balance and time management,Emotional support","Asian or Pacific islander,Black or African-American,Middle Eastern,Other",Greek Life (IFC/Panhel),Prefer not to answer,Yes,No,1,9,1,7,7,9,4,3,testemail@qemailserver.com,,,,,,
2024-07-09 11:22:37,2024-07-09 11:22:37,Survey Test,,100,0,True,2024-07-09 11:22:37,R_5dSfzvGwESbkqb4,,,,,,,test,,vulputate,accusamus,facilisis,temporibus,Dictumst m,Leo te,Sophomore,Trinity,International Comparative Studies,"Finance,Photography","Child Policy Research,Global Development Engineering,Philosophy Politics and Economics",Nashville TN,Politics / Government and public sector,"MD (Doctor of Medicine),MBA (Masters of Business Administration),JD (Juris Doctorate/Law),PhD (Doctor of Philosophy),MFA (Master of Fine Arts),MA (Master of Arts),Psy.D (Doctor of Psychology),MeD (Master of Education),MEM (Master of Engineering Management),MSN (Master of Science in Nursing),MEM (Master of Environmental Management),MHA (Master of Healthcare Administration),MPH (Master of Public Health),MEng (Master of Engineering),DVM (Doctor of Veterinary Medicine)","Watching Sports,Fishing/Hunting","Career exploration and decision-making,Personal growth and self-improvement,Work-life balance and time management","Hispanic or Latinx,Middle Eastern,Other",Multicultural Greek Council (MGC),No,No preference,No,7,4,9,6,3,6,1,8,testemail@qemailserver.com,,,,,,
2024-07-09 11:22:37,2024-07-09 11:22:37,Survey Test,,100,0,True,2024-07-09 11:22:37,R_9S2fopzwf2Bxp0W,,,,,,,test,,ultricies,suspendisse,ultricies,elementum,Euismod. P,"Culpa ",Junior,Pratt,"Gender Sexuality and Feminist Studies,Music",Russian and East European Literatures in Translation,Ethics and Society,"Washington DC,Denver CO,China","Transportation and logistics,Religion","None / Not listed,MD (Doctor of Medicine),JD (Juris Doctorate/Law),MA (Master of Arts),Psy.D (Doctor of Psychology),MEM (Master of Engineering Management),MSN (Master of Science in Nursing),MPP (Masters of Public Policy),MHA (Master of Healthcare Administration),MPA (Master of Public Administration),MPH (Master of Public Health),MM (Master in Management),DVM (Doctor of Veterinary Medicine)",Music/Dance,Skill development in a specific field,"Asian or Pacific islander,Black or African-American,Hispanic or Latinx,Middle Eastern,Native American or American Indian,White,Other,Prefer not to answer","NPHC (African American Greek letter organizations),Greek Life (IFC/Panhel)",Yes,Yes,No,0,6,4,6,1,5,0,1,testemail@qemailserver.com,,,,,,
