Name (First and Last),What is your email address?,Are you in Trinity or Pratt?,What year are you? For this pilot program; we invite sophomores; juniors and seniors to participate. Since Blue Devil Buddies serves as the mentorship program for first-years; freshmen are not eligible to participate at this time.,Which ethnic/racial identity(s) do you most identify with?,Identity,What is your intended major? Select up to three. (You can select multiple choices by holding down the CTRL or COMMAND key on your computer) (If you are doing Program II; select the option(s) that are most similar to what you are studying),Do you intend to complete any minors? Select up to three. (You can select multiple choices by holding down the CTRL or COMMAND key on your computer),Do you intend to complete any certificates? Select up to three. (You can select multiple choices by holding down the CTRL or COMMAND key on your computer),What graduate degrees do you hope to pursue; if any?,The following is a list of regions where there are larger concentrations of active; engaged Duke alumni. If you're interested to moving to any of these locations after graduation; select up to three. This can be useful for generating matches; but matches will not be made based on location alone. (Select up to three).,What industries are you considering starting a career in/want to learn more about? Select up to three. If the industry you're looking for isn't listed; choose the most similar option.,In which areas are you looking for guidance or support? (Select up to three),What are your other interests? Select up to three.,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Ethnicity / Race,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Hobbies / Interests,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Major / Academic Interest,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Graduate Degree Interest,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Industry,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Location,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - First Generation,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Areas for guidance / support,NumStudent
Et; mattis,testemail@qemailserver.com,Trinity,Senior,Middle Eastern;Native American or American Indian;White;Other,None,International Comparative Studies,Asian American and Diaspora Studies;Energy Engineering;Global Cultural Studies,Child Policy Research,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Houston/Dallas/Austin,Transportation and logistics,Career exploration and decision-making;Networking and professional connections;Emotional support,Fitness;Pets;Time with Friends,7,2,4,6,6,9,1,2,0
Orci accum,testemail@qemailserver.com,Trinity,Sophomore,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Prefer not to answer,None,Economics;Music;Slavic and Eurasian Studies,Visual and Media Studies,Global Development Engineering;Innovation and Entrepreneurship;Policy Journalism and Media Studies,None / Not listed;MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MEM (Master of Engineering Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MEng (Master of Engineering),Chicago IL;Miami/Central Florida/Tampa Bay,Medical;Venture Capital;Architecture and Design,Skill development in a specific field,Fashion;Outdoor Activities/Hiking/Camping;Music/Dance,4,2,5,4,9,2,9,6,0
Diam! Plac,testemail@qemailserver.com,Trinity,Junior,Asian or Pacific islander;Black or African-American;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Environmental Sciences and Policy,Asian American and Diaspora Studies;Global Health,Aerospace Engineering;Health Policy;Philosophy Politics and Economics,MD (Doctor of Medicine);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MeD (Master of Education);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Nashville TN,Real estate;Transportation and logistics;Pharmaceutical,Academic success and study skills;Work-life balance and time management,Fitness;Outdoor Activities/Hiking/Camping,0,3,4,7,2,2,8,7,0
"Fermentum ",testemail@qemailserver.com,Trinity,Junior,Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Prefer not to answer,None,History;Undecided,Philosophy;Physics,Materials Science and Engineering,None / Not listed;MBA (Masters of Business Administration);JD (Juris Doctorate/Law);MFA (Master of Fine Arts);MS (Master of Science);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),EU,Arts / Creative Industries,Personal growth and self-improvement;Work-life balance and time management;Emotional support,Gardening;Pets;Visual Arts/Crafts,2,9,3,8,9,5,4,1,0
Duis; ut v,testemail@qemailserver.com,Trinity,Sophomore,Asian or Pacific islander;White;Other;Prefer not to answer,None,Art History;Chemistry;Linguistics,Greek,East Asian Studies;Ethics and Society;Markets and Management,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);MFA (Master of Fine Arts);MSN (Master of Science in Nursing);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management),Washington DC,Education;Manufacturing and engineering;Retail and e-commerce,Networking and professional connections;Work-life balance and time management;Emotional support,Fashion,9,6,10,8,6,1,7,3,0
Felis proi,testemail@qemailserver.com,Trinity,Senior,Asian or Pacific islander;Black or African-American;Middle Eastern;Other,None,Biophysics,Electrical and Computer Engineering;Evolutionary Anthropology;Physics,Health Policy;Human Rights;Policy Journalism and Media Studies,MD (Doctor of Medicine);MBA (Masters of Business Administration);MS (Master of Science);MSN (Master of Science in Nursing);MSW (Master of Social Work);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Chicago IL;Nashville TN,Medical;Food and beverage;Academia / Higher Ed,Skill development in a specific field;Work-life balance and time management;Emotional support,Fashion;Volunteering,1,9,1,7,7,9,4,3,0
Dictumst m,testemail@qemailserver.com,Trinity,Sophomore,Hispanic or Latinx;Middle Eastern;Other,None,International Comparative Studies,Finance;Photography,Child Policy Research;Global Development Engineering;Philosophy Politics and Economics,MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MHA (Master of Healthcare Administration);MPH (Master of Public Health);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Nashville TN,Politics / Government and public sector,Career exploration and decision-making;Personal growth and self-improvement;Work-life balance and time management,Watching Sports;Fishing/Hunting,7,4,9,6,3,6,1,8,0
Euismod. P,testemail@qemailserver.com,Pratt,Junior,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Gender Sexuality and Feminist Studies;Music,Russian and East European Literatures in Translation,Ethics and Society,None / Not listed;MD (Doctor of Medicine);JD (Juris Doctorate/Law);MA (Master of Arts);Psy.D (Doctor of Psychology);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MPP (Masters of Public Policy);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);DVM (Doctor of Veterinary Medicine),Washington DC;Denver CO;China,Transportation and logistics;Religion,Skill development in a specific field,Music/Dance,0,6,4,6,1,5,0,1,0
Ultrices m,testemail@qemailserver.com,Pratt,Senior,Asian or Pacific islander;Black or African-American;Middle Eastern;Native American or American Indian;White;Other,None,Environmental Sciences and Policy;French Studies;Slavic and Eurasian Studies,English,Documentary Studies;Materials Science and Engineering,MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MPH (Master of Public Health);MM (Master in Management),I don't know/Skip this question;Philadelphia and mid/southern NJ;Chicago IL,Construction;Agricultural and Food Science;Private Equity,Career exploration and decision-making;Emotional support,Movies/TV,7,7,8,7,6,1,10,5,0
Euismod ul,testemail@qemailserver.com,Trinity,Junior,Asian or Pacific islander;White,None,Biology;Classical Civilization;Visual and Media Studies,Asian and Middle Eastern Studies,None;Health Policy;Robotics and Automation,MBA (Masters of Business Administration);PhD (Doctor of Philosophy);MeD (Master of Education);MSW (Master of Social Work),Washington DC;Baltimore MD,Manufacturing and engineering;Construction;International Relations,Career exploration and decision-making;Skill development in a specific field;Academic success and study skills,Family Time;Watching Sports;Fishing/Hunting,6,0,9,6,2,5,9,9,0
