Id,Mentor ID,Mentor Name,Mentor Email,Mentee ID,Mentee Name,Mentee Email,Similarity Score,Iteration Number
211,1,2D4MW08P8P,2WRT1@T7KBE.com,3,8CZ2W6V4T4,Y9PE7@LOE8W.com,52.55385684559915,71
1,2,TZ20Z5N0PY,OB2GV@0HAY0.com,1,5J8EN2717H,SG1NO@R7K6N.com,51.66339826910651,71
2,3,13FK3U6V6H,7F20T@WHQJS.com,2,0U4A1N2X0R,LCQXB@NJ12O.com,38.729496816776866,71
3,4,EL51J10H13,X15WZ@8T9C1.com,4,IG4N6A87PN,WM45C@6DF5M.com,50.06260027674826,71
4,5,P03R3F26C9,HGVHR@NH64U.com,6,17P8U36W58,N7W5B@U92MN.com,40.509772851359855,71
5,6,62Z9KRG77E,GDTIG@50X8Q.com,8,Z9T1X93T5Z,0A2HM@P0XAY.com,38.13923773925402,71
6,7,Y3L050M53I,4J7T4@8KF6J.com,9,6W15R6I0K9,54MW9@0HK21.com,41.566874510913784,71
7,8,R2L26ELHU3,EMQ7G@7FS42.com,5,0H45F4N3X4,5PZ5W@8F63R.com,41.98113873200418,71
8,9,F0OZ0EMMM3,72KOS@P28ZM.com,7,MK69Q74P57,YH5OI@Y54FF.com,38.46302091747206,71
9,10,2X5U39D7XW,Y4H5O@4F3J4.com,10,R5J4KRMJ63,7S4M3@UW5E8.com,22.738259029708953,71
