Count,Name,IPAddress,Email,School,Year,Gender,Ethnicity,Identity,Major,Minor,Certificate,GradArea,Location,Industry,Goal,Hobby,EthnicityWeighting,IdentityWeighting,AcademicWeighting,GraduateWeighting,IndustryWeighting,LocationWeighting,GoalWeighting,HobbyWeighting,NumStudent
1,5J8EN2717H,182.54.215.171,SG1NO@R7K6N.com,SchoolA,Sophomore,Female,EthnicityA,IdentityC,Philosophy; Linguistics,Finance,Innovation & Entrepreneurship,GradAreaA,California,STEM,GoalB,HobbyA,5,2,4,1,3,5,3,4,65
2,0U4A1N2X0R,178.149.126.25,LCQXB@NJ12O.com,SchoolC,Junior,Female,EthnicityB,IdentityB,Computer Science,Global Cultural Studies;Global Health,,GradAreaB,Virginia,Accounting,GoalC,HobbyC,4,3,3,2,5,2,1,2,54
3,8CZ2W6V4T4,49.141.239.164,Y9PE7@LOE8W.com,SchoolB,Junior,Male,EthnicityC,IdentityA,Sociology;Computer Science,,Policy Journalism and Media Studies,GradAreaC,New Jersey,Education,GoalA,HobbyB,1,4,1,3,1,4,2,5,79
4,IG4N6A87PN,122.174.142.18,WM45C@6DF5M.com,SchoolC,Junior,Male,EthnicityA,IdentityC,Environmental Sciences; Civil Engineering,Machine Learning & Artificial Intelligence,,GradAreaA,Ohio,Biotechnology,GoalB,HobbyA,2,1,2,5,2,1,4,1,92
5,0H45F4N3X4,202.216.196.221,5PZ5W@8F63R.com,SchoolA,Senior,Female,EthnicityB,IdentityB,Mechanical Engineering,Political Science,Global Development Engineering,GradAreaB,Washington,STEM,GoalC,HobbyC,3,2,3,4,4,3,5,3,27
6,17P8U36W58,186.195.183.101,N7W5B@U92MN.com,SchoolC,Sophomore,Female,EthnicityC,IdentityA,Public Policy Studies; Political Science,Philosophy,Global Development Engineering,GradAreaC,Florida,Healthcare,GoalA,HobbyA,4,1,3,2,3,4,1,4,36
7,MK69Q74P57,70.118.186.16,YH5OI@Y54FF.com,SchoolA,Sophomore,Male,EthnicityA,IdentityC,Electrical and Computer Engineering; Civil Engineering,Medical Sociology,Science & the Public,GradAreaA,New York,Dentistry,GoalB,HobbyB,1,3,4,1,5,2,3,2,63
8,Z9T1X93T5Z,98.207.177.74,0A2HM@P0XAY.com,SchoolB,Sophomore,Female,EthnicityB,IdentityB,Linguistics,Machine Learning & Artificial Intelligence,Health Policy,GradAreaB,Virginia,STEM,GoalC,HobbyC,2,2,2,3,1,5,5,1,48
9,6W15R6I0K9,62.14.242.162,54MW9@0HK21.com,SchoolC,Senior,Female,EthnicityC,IdentityA,Biology; Chemistry,,Architecture and Design,GradAreaC,Washington,Healthcare,GoalA,HobbyA,3,4,1,4,4,3,2,3,75
10,R5J4KRMJ63,156.211.225.219,7S4M3@UW5E8.com,SchoolB,Sophomore,Male,EthnicityA,IdentityC,Environmental Sciences,Machine Learning & Artificial Intelligence,Philosophy,GradAreaA,Tennessee,STEM,GoalB,HobbyB,5,1,4,2,2,1,4,5,19
