Count,Name,IPAddress,Email,School,Year,Gender,Ethnicity,Identity,Major,Minor,Certificate,GradArea,Location,Industry,Goal,Hobby,EthnicityWeighting,IdentityWeighting,AcademicWeighting,GraduateWeighting,IndustryWeighting,LocationWeighting,GoalWeighting,HobbyWeighting,NumStudent
1,2D4MW08P8P,18.69.143.59,2WRT1@T7KBE.com,SchoolA,Class of 2020,Female,,IdentityA,Political Science;Philosophy,,CertA,GradAreaB,Michigan,Politics / Government and public sector,GoalA,HobbyB,4,3,2,1,5,3,4,5,77
2,TZ20Z5N0PY,206.233.182.114,OB2GV@0HAY0.com,SchoolB,Class of 2011,Female,EthnicityA,,Economics;Computer Science,Music,,GradAreaC,Texas,STEM,GoalC,HobbyA,5,1,4,2,2,2,3,4,31
3,13FK3U6V6H,138.107.182.236,7F20T@WHQJS.com,SchoolA,Class of 2014,Male,EthnicityB,IdentityA,Mechanical Engineering;Computer Science,Energy Engineering*,CertC,GradAreaA,California,Energy and Utilities,GoalA,HobbyC,3,2,3,4,4,5,1,3,42
4,EL51J10H13,84.53.135.62,X15WZ@8T9C1.com,SchoolC,Class of 2019,Female,EthnicityC,IdentityB,Biology,Dance,Jewish Studies,GradAreaA,Ohio,Accounting,GoalB,HobbyA,1,4,1,3,1,4,2,1,56
5,P03R3F26C9,74.185.165.79,HGVHR@NH64U.com,SchoolB,Class of 2012,Female,EthnicityC,IdentityC,Linguistics,,Jewish Studies,GradAreaB,,Education,GoalA,,2,3,2,1,3,1,5,2,89
6,62Z9KRG77E,123.43.187.227,GDTIG@50X8Q.com,SchoolC,Class of 2017,Male,EthnicityA,IdentityB,Public Policy Studies;Sociology,Environmental Sciences and Policy,Sustainability Engagement,GradAreaC,Florida,Research and Development,GoalC,HobbyC,5,1,3,4,5,2,4,5,61
7,Y3L050M53I,86.167.95.28,4J7T4@8KF6J.com,SchoolA,Class of 2008,Male,EthnicityB,IdentityA,Computer Science;Psychology,Art History,Health Policy,GradAreaA,New York,Artificial Intelligence / Machine Learning / Data Science,GoalA,HobbyA,2,4,4,2,3,3,1,3,13
8,R2L26ELHU3,189.162.121.239,EMQ7G@7FS42.com,SchoolB,Class of 2010,Female,EthnicityC,IdentityC,Chemistry,,,GradAreaB,Virginia,STEM,GoalB,HobbyC,1,2,1,5,2,5,3,1,23
9,F0OZ0EMMM3,66.120.245.158,72KOS@P28ZM.com,SchoolC,Class of 2015,Female,EthnicityB,IdentityA,Environmental Engineering;Civil Engineering,Global Health,Decision Sciences,GradAreaC,Washington,Dentistry,,HobbyB,4,3,2,3,4,4,2,4,45
10,2X5U39D7XW,13.244.190.29,Y4H5O@4F3J4.com,SchoolB,Class of 2013,Male,EthnicityA,IdentityB,Political Science;Economics,Economics,,,Tennessee,Education,GoalA,HobbyA,3,1,3,1,5,1,5,2,78
